ID	freq	lemma	PoS
10761	74	moleiro	n
10771	74	contactado	j
10781	74	cartel	n
10791	74	marquesa	n
10801	73	ecologista	n
10811	73	embrenhar	v
10821	73	posicionado	j
10831	73	cisterna	n
10841	73	estampido	n
10851	73	pero	c
10861	73	esperma	n
10871	73	ortografia	n
10881	73	telemóvel	n
10891	73	incompreensão	n
10901	72	íntegra	n
10911	72	ríspido	j
10921	72	dispensado	j
10931	72	capar	v
10941	72	executante	n
10951	72	decompor	v
10961	72	parabólico	j
10971	72	imunitário	j
10981	71	privatizado	j
10991	71	individualismo	n
11001	71	forrar	v
11011	71	penicilina	n
11021	71	estrangular	v
11031	71	insecticida	n
11041	71	nado	n
11051	71	prazer	v
11061	71	lobisomem	n
11071	71	abadia	n
11081	70	trejeito	n
11091	70	ponderação	n
11101	70	zombar	v
11111	70	evaporar	v
11121	70	provisoriamente	r
11131	70	listagem	n
11141	70	ciclismo	n
11151	69	amortização	n
11161	69	tc	n
11171	69	cautelar	j
11181	69	amedrontado	j
11191	69	eminentemente	r
11201	69	explicado	j
11211	69	defasagem	n
11221	69	vazar	v
11231	69	esofagite	n
11241	69	exímio	j
11251	68	cisma	n
11261	68	your	n
11271	68	entusiasta	n
11281	68	borrego	n
11291	68	birra	n
11301	68	eriçado	j
11311	68	tupi	j
11321	68	tíbia	n
11331	68	cartilagem	n
11341	68	tara	n
11351	68	amendoim	n
11361	67	pinacoteca	n
11371	67	manivela	n
11381	67	encaixe	n
11391	67	dissimular	v
11401	67	reversão	n
11411	67	arrebatado	j
11421	67	palpável	j
11431	67	pensionista	n
11441	67	pérsico	j
11451	67	erudição	n
11461	66	friso	n
11471	66	ensejo	n
11481	66	avidez	n
11491	66	confraria	n
11501	66	pelada	n
11511	66	estearina	n
11521	66	serrania	n
11531	66	arisco	j
11541	66	vespa	n
11551	66	bolacha	n
11561	66	capelão	n
11571	66	detergente	n
11581	65	avizinhar	v
11591	65	celidónia	n
11601	65	gâmeta	n
11611	65	prestador	n
11621	65	estrondoso	j
11631	65	endógeno	j
11641	65	marginalizado	j
11651	65	dominado	j
11661	65	mula	n
11671	65	racemoso	j
11681	64	longitude	n
11691	64	exasperar	v
11701	64	circunscrever	v
11711	64	solicitude	n
11721	64	manchar	v
11731	64	proponente	n
11741	64	bombo	n
11751	64	normando	n
11761	64	transcrever	v
11771	64	muleta	n
11781	64	meticuloso	j
11791	64	portinhola	n
11801	64	pragmatismo	n
11811	63	tubular	j
11821	63	fervilhar	v
11831	63	singelo	j
11841	63	destilação	n
11851	63	insistentemente	r
11861	63	programático	j
11871	63	dado	j
11881	63	vitral	n
11891	63	seleccionado	n
11901	63	arredondar	v
11911	62	indecente	j
11921	62	alar	v
11931	62	ofertado	j
11941	62	gatuno	n
11951	62	catalão	n
11961	62	dominância	n
11971	62	barrento	j
11981	62	espreguiçar	v
11991	62	folia	n
12001	62	excomungado	n
12011	62	aflitivo	j
12021	62	amaldiçoar	v
12031	61	pio	j
12041	61	incumbido	j
12051	61	surdina	n
12061	61	ilegalmente	r
12071	61	sopé	n
12081	61	propulsor	n
12091	61	autómato	n
12101	61	biomassa	n
12111	61	quitação	n
12121	61	movimentado	j
12131	61	virtualmente	r
12141	61	indefinição	n
12151	61	terrivelmente	r
12161	60	hermínio	n
12171	60	disparatado	j
